  50.376   329.114    17.916   330.547   861.813
 102.526   668.603   905.631   265.628   503.679
 871.799   613.896   846.562   653.233   991.008
 862.212   630.024   473.575   140.395   713.332
 981.674   874.053   665.209   167.885   555.608
 253.319   845.763     4.225   332.325   183.790
 896.825   264.369   780.701    53.944   360.722
 554.471   483.016   552.320   373.935   746.705
 621.231   683.732   426.250   439.976   289.864
 858.394   755.109   284.079   816.322   461.671
 439.812   636.705   487.606   967.560   120.438
 794.492   569.490   644.279   231.097   205.416
 960.896   329.223   186.380   453.483   298.940
 605.875     3.779   915.937   191.078   873.010
 698.219   875.594   437.570   380.765   716.160
 780.033   207.014   616.083   504.603   565.518
 729.969    54.837    67.930   560.882   755.120
 740.224   779.363   344.792   398.894   265.035
  86.515   122.690   592.042   402.373   233.002
 141.646    93.030    83.535   918.027    78.725
   7.591   720.996    24.805   715.066   397.661
 592.272   210.182    21.244   264.029   375.478
 468.561   939.519    98.346   878.917   629.669
 621.557   909.835   183.599   784.269    27.042
 206.195   258.669   387.926   173.411   442.413
 514.764   491.264   424.928   905.245   184.410
 213.368   374.617   979.175   636.909   591.002
 908.116   264.073   239.163   193.990   211.750
 443.093   988.198   748.902   719.919   708.373
 975.852    37.275   900.606   694.940   127.011
 375.688   616.080   558.077   676.386   487.105
 253.940   291.231   468.007   268.165   657.277
 730.160   351.351   517.925   549.653   434.001
 292.000   259.852   306.632   564.141   320.980
 308.498   994.031   763.309   568.371   837.039
 318.897    77.856   311.686   839.723   955.472
 940.587   333.163   320.682   187.157   297.822
  92.763   676.614   338.722   622.637   216.373
 172.090   287.270   930.101    98.894   398.560
 848.687   656.818   590.111   418.543   399.445
 341.294   669.512   713.940   329.796   890.028
 239.928   471.208    28.226   382.942   424.246
 877.788   583.892   465.649   439.761   837.316
 619.456   389.495   146.365   240.863   599.200
 425.957    82.690   513.430   433.633   459.979
  10.546    11.326    16.815   956.091   890.143
 775.883   255.843   934.516   683.494    52.946
 348.203   814.832   862.001   290.873   528.289
 550.267   179.069   727.304   934.275   620.883
 381.388   413.738   313.890   555.187   271.318
 988.891   948.598   946.019   552.635   937.822
 252.550   907.536   233.563   952.668   421.651
 957.526   558.911   311.320   868.645   569.785
 708.227   242.699   484.633   646.486    68.155
 313.223   198.070   120.238   468.406   525.543
 658.907   382.618   311.584   864.022   377.993
 407.698   593.982    65.844   659.028   388.781
 647.488   164.176   684.236   281.560   903.707
  38.247   659.904   173.211   734.262   560.783
 599.301   432.020   111.228   910.646   281.805
 866.469   413.985    43.662   421.496   180.076
 374.649   193.487   596.428   636.225   201.693
 374.049   357.197   765.843   889.756   365.242
 298.400    20.999    16.957   751.805   162.396
 390.713   856.750   618.920   588.885   524.180
 170.486   854.287   467.741   329.689   137.725
 147.491   406.448    65.065   909.157   109.282
 540.937   178.063    91.203   751.664   680.426
 441.834   112.653    24.367   765.401   353.811
  75.686   413.878   198.528   735.490     5.477
  28.182   782.117   553.233   720.741   222.113
 290.392   863.099   938.947   451.809   406.447
 968.094   423.290   466.446   163.217   449.881
 175.516   193.431    20.222   865.042   337.782
   7.197   984.757   778.159    50.269   799.842
 194.202   532.506   555.939   180.121   696.186
 425.162    70.904   966.343   942.966   372.894
 233.441   529.099   623.575   560.109   694.874
 132.359   974.838   191.979   984.193   423.780
 665.916   511.042   438.709   853.756   835.503
 805.947   348.074    56.720   531.354   261.482
 377.110   529.726   561.242   371.269   436.763
 622.449   603.144   534.473   862.205   188.695
 558.085   504.013   683.050    60.039   291.485
 733.356   979.289   903.113   803.631   400.805
 825.924   240.428   851.516   728.974   511.499
 838.098   492.116   245.133   655.993   212.667
 451.834   441.683   948.564   756.468   640.053
 913.085   242.514   281.884     6.367   698.674
 369.757   572.268   332.295   578.007    85.706
 586.727   564.175   510.199   891.494   817.159
 881.492   420.396   218.324   676.384   182.140
 708.828   269.528    16.568   733.006   466.480
 240.559   683.463   140.238    16.227   682.591
 543.932   508.607   832.842   507.960    47.039
 821.768   806.109   345.785    86.658   704.931
 209.967   999.137   483.084   505.043   350.354
 357.113   382.071   451.415   237.616   869.950
  64.572   971.612    70.135   647.866    67.137
 282.001   914.042   362.481   471.207   266.846
